1 -3.34769 -3.34769 0
2 -3.34997 -3.34883 0.000805868
3 -3.34763 -3.34843 0.00062787
4 -3.34806 -3.34834 0.000477728
5 -3.34628 -3.34793 0.000530159
6 -3.34796 -3.34793 0.000441835
7 -3.3475 -3.34787 0.000383024
8 -3.34904 -3.34802 0.000361796
9 -3.34962 -3.34819 0.000363055
10 -3.34882 -3.34826 0.000332147
11 -3.34867 -3.3483 0.000304078
12 -3.34982 -3.34842 0.000304163
13 -3.34812 -3.3484 0.000281637
14 -3.34685 -3.34829 0.000282499
15 -3.3494 -3.34836 0.000273258
16 -3.3474 -3.3483 0.000262709
17 -3.34832 -3.3483 0.000247258
18 -3.34716 -3.34824 0.000241497
19 -3.34782 -3.34822 0.000229815
20 -3.34478 -3.34805 0.000275089
